dataset,metric,value,calculation,evidence,status,source,note
funnel,Completed ≥1 test,286,82.9% of 345 | 41.9%,PROD,ACTUAL,test_sessions,"Once a user starts, they usually finish. Test-taking itself is not the problem."
funnel,Returned on a 2nd day,16,5.6% of 286 | 2.3%,PROD,ACTUAL (FLOOR),daily_activity,Largest proportional loss: 94.4%. This is a floor — a user who logs in and reads materials without submitting a test is not counted as active at all.
funnel,Pricing viewed,DATA NOT AVAILABLE,,GAP,DATA NOT AVAILABLE,not instrumented on the in-app PricingCards screen,The single most damaging measurement gap in the funnel: the checkout stage below has no denominator. It is unknown how many of the 682 ever saw a plan.
funnel,Checkout started,11 people / 21 attempts,1.6% of 682,PROD,ACTUAL,payments.created,CANNOT be expressed as a percentage of the previous stage. The 11 checkout users are not known to be a subset of the 16 returners — no query has established the overlap. Nor is there a pricing-view denominator.
funnel,Payment completed,1,9.1% of 11 people · 4.8% of 21 attempts | 0.15% of 682,PROD,ACTUAL,payments.paid,"One transaction, one plan, one buyer."
funnel,Externally-acquired paid,0,0% of 1 | 0.00% of 682,FOUNDER,ACTUAL,founder-confirmed,"The single revenue-bearing record was founder-generated. In 83 days, nobody has discovered this product independently, valued it, and paid for it."
funnel_caveat,Denominator rule 1,,,,CAVEAT,,"The funnel has no top. Visitor and pricing-view counts do not exist, so no stage above signup and no stage immediately above checkout can be expressed as a conversion rate."
funnel_caveat,Denominator rule 2,,,,CAVEAT,,"Stages 2–5 (682 → 345 → 286 → 16) share a valid nested denominator: each population is a strict subset of the one above it, measured in the same tables."
funnel_caveat,Denominator rule 3,,,,CAVEAT,,"Stage 7 (checkout) breaks the chain. The 11 checkout users are NOT established as a subset of the 16 returners. Any ""16 → 11"" arrow would be an invented relationship."
funnel_caveat,Denominator rule 4,,,,CAVEAT,,Returner counts are a floor. daily_activity is written only by test submission and current-affairs question completion.
funnel_caveat,Denominator rule 5,,,,CAVEAT,,"53.7% of the registered base (366 of 682) signed up within the last 30 days, so a material share of the 682 has had limited time to return at all. Retention percentages measured against the full base understate the mature-cohort rate by an unknown margin."
signups_monthly,June 2026,19,19 / 17 days,PROD,PARTIAL MONTH,profiles.created_at,"Partial month — the platform's first signup is 14 Jun 2026, so June covers 17 days, not 30. Per day: 1.1"
signups_monthly,July 2026,226,226 / 31 days,PROD,FULL MONTH,profiles.created_at,First full month. 6.5× June's daily rate. Per day: 7.3
signups_monthly,August 2026,396,396 / 31 days,PROD,FULL MONTH,profiles.created_at,Best month on record. +75.2% over July (396 / 226). Per day: 12.8
signups_monthly,September 2026,45,"partial month, cut-off 5-7 Sep",PROD,PARTIAL MONTH,profiles.created_at,"PARTIAL MONTH. The exact query cut-off date is not recorded (5–7 Sep), so the implied daily rate is a range, not a point. This is NOT a collapse — it is 5–7 days of a 30-day month. Per day: 6.4 – 9.0"
acquisition,Signups last 30 days,366,,PROD,ACTUAL,profiles,53.7% of the entire user base
acquisition,New paying customers last 30 days,0,0 / 366,PROD,ACTUAL,payments,0.00% conversion
acquisition,Signups last 7 days,50,50 / 7 days = 7.1/day,PROD,ACTUAL,profiles,
acquisition,Signups with a known acquisition source,0,0 / 682,CODE,CONFIRMED,exhaustive schema search,No utm/referrer column exists. Historical attribution is permanently unrecoverable.
acquisition,Monthly totals vs baseline reconciliation,686 vs 682,19+226+396+45 = 686,DERIVED,DATA GAP,,"The monthly breakdown sums to 686 (19 + 226 + 396 + 45), against a stated registered-user baseline of 682. The 4-user difference is consistent with the two queries having been run on different dates — the baseline snapshot is timestamped 5 Sep 2026 19:01 IST, while the acquisition query extends to the latest available production date. The exact run timestamp of the monthly query is NOT recorded."
acquisition_reading,Trend note 1,,,,FACT,,Acquisition grew every full month measured: 19 (17 days) → 226 → 396. August is the best month on record.
acquisition_reading,Trend note 2,,,,FACT,,366 users signed up in the last 30 days and none of them paid.
acquisition_reading,Trend note 3,,,,CAUTION,,September's 45 signups cover 5–7 days of a 30-day month. Reading it as a decline is a partial-period error. September must not be compared to a full month.
acquisition_reading,Trend note 4,,,,OBSERVATION,,"Derived from the two windows (assuming both end on the same date): the last 7 days ran at 7.1 signups/day, while days 8–30 ran at 13.7/day. A single 7-day window is not a trend and this is well inside normal weekly variation for a base this size."
acquisition_reading,Trend note 5,,,,DATA GAP,,"No weekly time series was supplied, so the 7-day observation above cannot be confirmed or dismissed. A week-by-week signup query is the cheapest way to close it."
acquisition_reading,Trend note 6,,,,DATA GAP,,"Source attribution is absent for every one of these signups. It is not known whether August's 396 came from Instagram, Telegram, YouTube, referral, organic or direct — see Flaw #12."
activation,Registered users,682,,PROD,ACTUAL,profiles,
activation,Started >=1 test,345,345 / 682 = 50.6%,PROD,ACTUAL,test_sessions,
activation,Never started a test,337,337 / 682 = 49.4%,PROD,ACTUAL,derived,Largest absolute loss in the funnel
activation,Completed >=1 test,286,286 / 682 = 41.9%,PROD,ACTUAL,test_sessions,
activation,Completion rate among starters,82.9%,286 / 345,DERIVED,ACTUAL,,"Once a user starts, they usually finish"
activation,Started but never completed,59,59 / 345 = 17.1%,DERIVED,ACTUAL,,
activation_kpi,Signup → first test start,50.6%,345 / 682,,KPI,,Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT
activation_kpi,Signup → first test completion,41.9%,286 / 682,,KPI,,Target: BASELINE FIRST — TARGET TO BE SET AFTER EXPERIMENT
activation_kpi,Median time signup → first test start,DATA NOT AVAILABLE,requires min(test_sessions.started_at) − profiles.created_at per user,,KPI,,"Target: Instrument, then baseline"
retention,Returners / test-completers,5.6%,16 / 286,PROD,ACTUAL (FLOOR),daily_activity,"The honest activation-conditioned rate: of users who actually completed a test, 5.6% came back on another day."
retention,Returners / all registered,2.3%,16 / 682,PROD,ACTUAL (FLOOR),daily_activity,"The whole-base rate. Lower, because it includes 337 users who never started a test and so were never in a position to return."
retention,Never returned / completers,94.4%,270 / 286,PROD,ACTUAL (FLOOR),daily_activity,The largest proportional loss anywhere in the funnel.
retention,Active last 30 days,19.8%,135 / 682,PROD,ACTUAL (FLOOR),daily_activity,
retention,Active last 7 days,2.5%,17 / 682,PROD,ACTUAL (FLOOR),daily_activity,
retention,7-day / 30-day active ratio,12.6%,17 / 135,PROD,ACTUAL (FLOOR),daily_activity,A decay signal — but also consistent with a fast-growing base where recent joiners have not yet had time to return.
retention_cohort,D1,DATA NOT AVAILABLE,,,DATA GAP,query not run,
retention_cohort,D3,DATA NOT AVAILABLE,,,DATA GAP,query not run,
retention_cohort,D7,DATA NOT AVAILABLE,,,DATA GAP,query not run,
retention_cohort,D14,DATA NOT AVAILABLE,,,DATA GAP,query not run,
retention_cohort,D30,DATA NOT AVAILABLE,,,DATA GAP,query not run,
retention_caveat,Caveat 1,,,,CAVEAT,,"daily_activity is written ONLY by test submission and current-affairs question completion. A user who logs in, browses materials, reads the CA magazine or reviews bookmarks — but submits no test — is not counted as active at all. Every retention figure here is a FLOOR, not a measurement."
retention_caveat,Caveat 2,,,,CAVEAT,,"53.7% of the base (366 of 682) registered in the last 30 days. Some of the ""never returned"" population has simply not had much time yet. Cohorted retention (D1/D3/D7/D14/D30 by signup week) is the only honest way to separate churn from immaturity, and it has not been run."
retention_caveat,Caveat 3,,,,CAVEAT,,83 days is a short window. Some apparent decay is normal cohort maturation.
retention_caveat,Caveat 4,,,,CAVEAT,,"The habit loop reinforces only completion. Streaks, XP and badges are written exclusively by submit_test — a user who answers 20 questions and quits earns nothing."
revenue,All-time revenue,₹899,,PROD,,,"89,900 paise. One transaction."
revenue,Externally-generated revenue,₹0,,FOUNDER,,,The only revenue-bearing record was founder-generated.
revenue,Revenue per day,₹10.83,,DERIVED,,,₹899 / 83 days.
revenue,ARPU (all registered users),₹1.32,,DERIVED,,,₹899 / 682.
revenue,AOV,₹899,,DERIVED,,,Single transaction — AOV and revenue are the same number.
revenue,Annualised run-rate,"≈ ₹3,953",,DERIVED,,,"₹899 / 83 × 365. SCENARIO — arithmetic on a single transaction, not a forecast."
revenue,Refunds,0,,PROD,,,
revenue,Failed payments,0,,PROD,,,In 83 days. The payment rail works.
revenue,Coupon-attributed revenue,₹0,,PROD,,,Zero redemptions in 83 days.
revenue,Revenue concentration,100%,,DERIVED,,,"One plan, one transaction, one internally-generated buyer."
customer_segment,Total records marked paid,4,,PROD,ACTUAL,,Revenue: ₹899.
customer_segment,Internal staff comps (₹0),3,,FOUNDER,ACTUAL,,Revenue: ₹0. Founder-confirmed team members. Recorded as premium_annual with ₹0 revenue.
customer_segment,Founder-generated customer,1,,FOUNDER,ACTUAL,,"Revenue: ₹899. Arithmetic on aggregates: exactly one payment record carries a non-zero amount, and the founder states the single paying customer was generated internally — so that record is necessarily the one. No attempt has been made to guess which user ID it is."
customer_segment,Founder-side referral,PENDING,,GAP,PENDING IDENTIFICATION,,PENDING IDENTIFICATION — identifiers not yet supplied by the founder.
customer_segment,Externally-acquired paying customers,0,,FOUNDER,ACTUAL,,Revenue: ₹0. The headline metric of this audit.
conversion_rate,All paid records / all users,0.59%,4 / 682,DERIVED,ACTUAL,payments + profiles,Sample too small for any rate to be statistically meaningful
conversion_rate,Revenue-generating / all users,0.15%,1 / 682,DERIVED,ACTUAL,payments + profiles,Sample too small for any rate to be statistically meaningful
conversion_rate,Externally acquired / all users,0.00%,0 / 682,DERIVED,ACTUAL,payments + profiles,Sample too small for any rate to be statistically meaningful
conversion_rate,Paid / checkout people,9.1%,1 / 11,DERIVED,ACTUAL,payments + profiles,Sample too small for any rate to be statistically meaningful
conversion_rate,Paid / checkout attempts,4.8%,1 / 21,DERIVED,ACTUAL,payments + profiles,Sample too small for any rate to be statistically meaningful
conversion_rate,Paid / last-30-day signups,0.00%,0 / 366,DERIVED,ACTUAL,payments + profiles,Sample too small for any rate to be statistically meaningful
plan,Starter (Free),₹0,"attempts=n/a, paid=n/a",CODE+PROD,,pricing constants + payments ledger,"Forever | Everyone — the acquisition tier | 50 signup credits + 10/day (1 credit per question), on-screen explanations | Credits: 50 + 10/day | RankBooster: No | Vettri: No | Mock: 1 free 200-Q mock, ever | Revenue: n/a"
plan,Group 1 Mock Test Pack,₹399,"attempts=2, paid=0",CODE+PROD,,pricing constants + payments ledger,80 days | Group 1 aspirants | A bigger credit drip — NOT unlimited access | Credits: 50/day (vs 10) | RankBooster: No | Vettri: No | Mock: Credit-metered only | Revenue: ₹0
plan,Vettri Nichayam (monthly),₹499,"attempts=n/a, paid=n/a",CODE+PROD,,pricing constants + payments ledger,30 days | Test-marathon users | Full Vettri / Test-Marathon bank | Credits: Unlimited within Vettri | RankBooster: No | Vettri: Yes | Mock: No | Revenue: n/a | The payments ledger records a single vettri_nichayam plan key. Whether the 4 recorded attempts split across the ₹499 monthly and ₹899 full variants is NOT established — DATA GAP.
plan,Vettri Nichayam (full),₹899,"attempts=4, paid=1",CODE+PROD,,pricing constants + payments ledger,"60 days | Test-marathon users, better per-day rate | Full Vettri / Test-Marathon bank | Credits: Unlimited within Vettri | RankBooster: No | Vettri: Yes | Mock: No | Revenue: ₹899 | The only plan that has ever converted — and that sale was founder-generated."
plan,Rank Booster (Group 2 / 2A),"₹1,249","attempts=3, paid=0",CODE+PROD,,pricing constants + payments ledger,"90 days | Group 2 / 2A aspirants | 23-test Group II/IIA series — a separate product from Vettri | Credits: Unlimited | RankBooster: Yes | Vettri: No | Mock: No | Revenue: ₹0 | MRP ₹1,800. Advertised as an ""Independence Day offer valid till 31 Aug 2026"" — expired, and still live. See Flaw #3."
plan,Premium Prelims Kit,"₹1,699","attempts=12, paid=0",CODE+PROD,,pricing constants + payments ledger,"180 days | All prelims aspirants — the superset | Superset: Vettri-equivalent access AND Rank Booster included free | Credits: Unlimited | RankBooster: Yes (free) | Vettri: Yes | Mock: Yes | Revenue: ₹0 | Draws 57% of all purchase intent at the highest price point, and has converted zero times. 12 of the 20 abandonments (60%)."
entitlement_overlap,Premium ⊇ Rank Booster,Overlap,,CODE,CONFIRMED,entitlement logic,"Buying Premium gets Rank Booster free. A user who buys Rank Booster (₹1,249) then wants Vettri must buy again; a Premium buyer (₹1,699) would have had both for ₹450 more. Nothing on the pricing screen says so."
entitlement_overlap,Premium ⊇ Vettri,Overlap,,CODE,CONFIRMED,entitlement logic,"Same superset relationship, also unstated."
entitlement_overlap,Vettri ⊉ Rank Booster,Trap,,CODE,CONFIRMED,entitlement logic,The most expensive non-Premium plan does NOT include the other most expensive non-Premium plan. This is the single least guessable rule in the catalogue.
entitlement_overlap,"Mock Pack ⊉ Vettri, ⊉ Rank Booster",Trap,,CODE,CONFIRMED,entitlement logic,"The ₹399 ""Mock Test Pack"" unlocks no test bank at all — it raises the daily credit grant from 10 to 50. A buyer reasonably expects mock exams."
entitlement_overlap,Vettri monthly vs. full,Ambiguous,,CODE,CONFIRMED,entitlement logic,₹499/30d vs ₹899/60d — the same product at two rates. The ledger appears to collapse both into one plan key.
payments_reconciliation,"payments rows with status = created, never completed",20,,PROD,ACTUAL,payments,
payments_reconciliation,Distinct users behind those 20 rows,11,,PROD,ACTUAL,payments,
payments_reconciliation,Completed payment records (status = paid),4,,PROD,ACTUAL,payments,
payments_reconciliation,— of which internal staff comps at ₹0 (founder-confirmed),3,,FOUNDER,ACTUAL,payments,
payments_reconciliation,"— of which revenue-bearing (₹899, founder-generated)",1,,PROD + FOUNDER,ACTUAL,payments,
payments_reconciliation,Total price-accepted checkout attempts (20 abandoned + 1 completed),21,,DERIVED,ACTUAL,payments,
payments_reconciliation,Externally-acquired paying customers,0,,FOUNDER,ACTUAL,payments,
checkout_abandonment_pattern,Repeat within seconds (12s and 11.7s spans),2 users / 4 attempts,,PROD,ACTUAL,payments.created_at,"Comparison-shopping at the payment window. One user opened premium_annual then vettri_nichayam 12 seconds apart — using the checkout screen to discover what the plans cost, because the pricing screen did not say. Originally read as a technical failure signature; reinterpreted after checkout was verified working."
checkout_abandonment_pattern,"Repeat across days/weeks (59d, 16d, 13d spans)",3 users / 10 attempts,,PROD,ACTUAL,payments.created_at,Sustained interest with an unresolved objection. One user returned 5 times across 59 days and never bought.
checkout_abandonment_pattern,"Single attempt, never returned",6 users / 6 attempts,,PROD,ACTUAL,payments.created_at,"One look, no return."
feedback,Responses,6,6 / 682 = 0.88%,PROD,ACTUAL,app_feedback,
feedback,Average rating,4.33,(5 + 4 + 5 + 5 + 2 + 5) / 6 = 26 / 6 = 4.33,PROD,ACTUAL,app_feedback,"n = 6, not statistically meaningful"
feedback,Ratings received,5 4 5 5 2 5,,PROD,ACTUAL,app_feedback,
feedback,Responses with written text,0,0 / 6,PROD,ACTUAL,app_feedback,The system holds zero words of user opinion
feedback_distribution,5 star,4,,PROD,ACTUAL,app_feedback,
feedback_distribution,4 star,1,,PROD,ACTUAL,app_feedback,
feedback_distribution,3 star,0,,PROD,ACTUAL,app_feedback,
feedback_distribution,2 star,1,,PROD,ACTUAL,app_feedback,
feedback_distribution,1 star,0,,PROD,ACTUAL,app_feedback,
feedback,Clarity behavioural data,DATA NOT AVAILABLE,,GAP,DATA GAP,no access in any stage,No behavioural inference in this report is drawn from Clarity
tracking_coverage,page_view,"tracked=Yes, reliable=Yes",,CODE,OK,"GA4/GTM — every SPA route change, web + native split handled correctly",—
tracking_coverage,sign_up,"tracked=Partial, reliable=No",,CODE,GAP,trackSignUp() — authStore.ts,"ONE call site: the password/WhatsApp-OTP path. A Google-created account fires only trackLogin(""google"") and is indistinguishable from a returning user. Every signup number in GA4/Meta undercounts by however many people use Google."
tracking_coverage,login,"tracked=Yes, reliable=Yes",,CODE,OK,authStore.ts,—
tracking_coverage,start_test,"tracked=Yes, reliable=Yes",,CODE,OK,quiz engine,—
tracking_coverage,submit_test,"tracked=Yes, reliable=Yes",,CODE,OK,submit_test RPC,—
tracking_coverage,view_result,"tracked=Yes, reliable=Yes",,CODE,OK,Result page,—
tracking_coverage,test_abandoned,"tracked=Partial, reliable=No",,CODE,GAP,"record_abandoned_test() — one call site, free practice engine only","Mock, Vettri, Rank Booster and Test Series have no exit button and no abandon call. A rage-quit on content someone PAID for leaves zero trace. The reported 161 abandonments cover only the free engine."
tracking_coverage,pricing_viewed,"tracked=Partial, reliable=No",,CODE,GAP,trackViewContent — Register page load and /rank-booster landing only,NOT confirmed to fire from the in-app PricingCards screen. This is why the checkout stage of the funnel has no denominator.
tracking_coverage,checkout_started,"tracked=Yes, reliable=Yes",,CODE,OK,"PremiumCard, VettriCard, useMockPackPurchase, useRankBoosterPurchase",—
tracking_coverage,payment_success / failed,"tracked=Yes, reliable=Yes",,CODE,OK,razorpay.ts / IAP flow — single choke-point,—
tracking_coverage,purchase,"tracked=Yes, reliable=Yes",,CODE,OK,razorpay.ts,—
tracking_coverage,coupon_applied,"tracked=Yes, reliable=Yes",,CODE,OK,server-validated,"coupon_viewed is not tracked separately, so it is impossible to tell whether nobody looks for a code or nobody can find one."
tracking_coverage,subscription_renewed / expired / cancelled,"tracked=No, reliable=n/a",,CODE,GAP,not found in code,"Plan expiry is computed on read via bundleAccess(), never written as an event. Renewal and churn are therefore unmeasurable."
tracking_coverage,utm_source / medium / campaign / referrer,"tracked=No, reliable=n/a",,CODE,GAP,nowhere — no column exists in the schema,Exhaustive schema search returned one non-match. Historical channel attribution is unrecoverable for every past period.
tracking_coverage,Server-side pageview / visitor count,"tracked=No, reliable=n/a",,CODE,GAP,no store exists,"The funnel has no top. Visitor volume is knowable only through GA4, which cannot be joined to who actually paid."
metric_defect,premiumActive,DEFECT,,CODE,CONFIRMED,revenue_metrics.sql,"Filters notes->>'plan' = 'premium_annual' only — 1 of 5 plans. Vettri, Rank Booster and Mock Pack customers do not count toward the founder's own headline paid figure. | Consequence: The business reads smaller to its own founder than it is. Currently masked by there being almost no customers; becomes actively misleading the moment conversion moves."
metric_defect,Active today / Active 7d,DEFECT,,CODE,CONFIRMED,get_platform_metrics(),Filters daily_activity with a bare current_date (UTC session clock) while every write stamps activity_date in IST. | Consequence: Real in code. NOT currently distorting anything: production returned identical values under UTC and IST (2 and 17). Downgraded from the P0 assigned in Stage 2 to P3.
metric_defect,"""Active"" itself",DEFECT,,CODE,CONFIRMED,daily_activity,"Written only by test submission and current-affairs completion. Reading materials, browsing, reviewing bookmarks — none of it counts. | Consequence: Every engagement and retention number in this report is a floor."
metric_defect,Tests abandoned (161),DEFECT,,CODE,CONFIRMED,test_sessions.status,"Only the free practice engine can ever write this status. | Consequence: Cannot answer ""do paying customers finish what they bought."""
metric_defect,"Total questions (49,916)",DEFECT,,CODE,CONFIRMED,questions,Unfiltered by the questions.active soft-hide flag the student-facing sampler actually applies. | Consequence: Overstates the live servable question pool by an unknown amount.
metric_defect,passed_80_percent,DEFECT,,CODE,CONFIRMED,test_sessions column name,"The enforced attendance gate is 25%, not 80%. The name is historical. | Consequence: Anyone reading this column will misinterpret it. Registered P3 — out of scope for this dashboard, listed here for completeness."
external_audit,URLs in sitemap.xml,5,,EXT,,,Home + /privacy + /guidelines + /payment-policy + /refund-policy. The 7 products named in the site's own JSON-LD have no pages of their own.
external_audit,Third-party mentions / reviews for the brand,0,,EXT,,,"Brand name + ""reviews"" / ""pricing"" / ""complaint"" returns nothing about this site anywhere. The same searches surface pricing pages and comparison articles for half a dozen competitors."
external_audit,Competing TNPSC apps outranking it,7,,EXT,,,"Testbook, Entri, Nithra, KalviApp, Yukthi, Aram, TNPSC Master."
external_audit,"Search result for ""TNPSC group 2 test series""",Absent,,UX,,,"Veranda Race 1st, TNPSC Master 2nd. TNPSC Mentors does not appear."
external_audit,Instagram followers,581,,EXT,,,"Bio positions the brand well and links to Telegram — the right instinct for this audience. A seed, not yet a funnel."
external_audit,App-store listings found,0,,EXT,,,"UNCONFIRMED ABSENCE — a search did not find a listing. The codebase contains real IAP product IDs (com.tnpscmentor.app.premium90), which implies at least store registration. Awaiting founder confirmation."
external_audit,Per-route <title> / meta description,Identical on every route,,EXT,,,Pure client-rendered SPA with no per-route server output. Every link shared on WhatsApp or Telegram unfurls as the generic homepage card.
external_audit,Public indexable pricing page,None,,EXT,,,Pricing renders only inside the app shell — it cannot rank in search and cannot be forwarded.
external_audit,Social proof on landing / pricing,None,,CODE,,,"LandingPage.tsx and PricingCards.tsx grepped in full: zero testimonials, ratings or user counts. Competitor TNPSC Master leads with ""10,000+ students""."
external_audit,Frontend bundle,~221 KB gz JS + 20 KB CSS,,EXT,,,"GOOD. Hashed, cached 1yr immutable. Performance is NOT a problem — do not spend engineering time here."
external_audit,robots.txt architecture,Correct,,EXT,,,"GOOD. Marketing site indexable, logged-in app noindexed. The judgment is sound; there is simply almost nothing behind it to index."
external_audit,Structured data (JSON-LD),Present,,EXT,,,"GOOD. Clean EducationalOrganization + FAQPage schema, bilingual inLanguage tags. Mostly wasted, because there is one page for it to describe."
flaw,#1 Weak value proposition & conversion experience,P0,impact/effort: see matrix,CONFIRMED,HYPOTHESIS,"Stage 1 external audit (social proof, competitor comparison) | Stage 2 codebase audit (grep of LandingPage.tsx / PricingCards.tsx) | Stage 3 production queries (payments, profiles) | First-time-user walkthrough | Final Growth Verification §1, §10, §12 | Backlog register P0-1, P0-4, P1-4, P2-5",Category: Conversion | Severity: Critical | Confidence: Medium | Funnel stage: Value discovery → Pricing → Checkout → Payment | Diagnosis: The product asks for money before it has shown anyone why the money is worth spending — and the screens that would do the persuading sit downstream of the paywall.
flaw,#2 Confusing monetization & pricing structure,P0,impact/effort: see matrix,CONFIRMED,OBSERVATION,"Stage 2 codebase audit (pricing constants, entitlement rules, VettriSuggestModal) | Stage 3 production queries (payments grouped by plan and timestamp) | First-time-user walkthrough | Final Growth Verification §5, §6, §12 | Backlog register P0-2","Category: Monetization | Severity: Critical | Confidence: High | Funnel stage: Pricing → Checkout | Diagnosis: Five price points with genuinely non-obvious entitlement overlap, and a user was caught using the payment window itself to work out what the plans cost."
flaw,#3 Broken / expired promotional experience,P0,impact/effort: see matrix,CONFIRMED,CONFIRMED,"Stage 2 codebase audit (pricing constants, /rank-booster component) | First-time-user walkthrough (5 Sep 2026) | Final Growth Verification §14 P0-3 | Backlog register P0-3","Category: Trust | Severity: High | Confidence: High | Funnel stage: Paid-ads landing → Pricing | Diagnosis: The one page built specifically to convert paid traffic advertises an ""offer valid till 31 Aug 2026"" — and it was still live on 5 Sep."
flaw,#4 Poor first-time user experience,P1,impact/effort: see matrix,OBSERVED,OBSERVATION,"First-time-user walkthrough | Stage 2 codebase audit (entry modal trigger conditions) | Stage 3 production queries (profiles vs test_sessions) | Final Growth Verification §14 P1-4, P1-6 | Backlog register P1-1, P1-2, P1-3","Category: Activation | Severity: High | Confidence: Medium | Funnel stage: Onboarding → First test | Diagnosis: A new user lands in the app with no orientation, up to five modals competing for attention, and 3–4 taps between them and the only thing that delivers value."
flaw,#5 Weak activation,P1,impact/effort: see matrix,CONFIRMED,OBSERVATION,"Stage 3 production queries (profiles, test_sessions) | First-time-user walkthrough | Final Growth Verification §1, §9 | Backlog register P1-1",Category: Activation | Severity: Critical | Confidence: High | Funnel stage: Signup → First test | Diagnosis: 337 of 682 registered users — 49.4% — have never started a single test. This is the largest absolute loss anywhere in the funnel.
flaw,#6 Poor retention & habit formation,P1,impact/effort: see matrix,CONFIRMED,OBSERVATION,"Stage 3 production queries (daily_activity, test_sessions) | Stage 2 codebase audit (habit-loop writers, daily_activity writers) | Final Growth Verification §7, §9 | Backlog register P1-6, P2-12, and P3-5 (carried in: the brief requires partial-effort reinforcement under this flaw, and it is a retention mechanism rather than code debt)",Category: Retention | Severity: Critical | Confidence: High | Funnel stage: Test completion → Return visit | Diagnosis: 270 of 286 users who completed a test — 94.4% — never came back on a second day. Only 16 of 682 users have ever had two active days.
